run,latency_s,input_tokens,output_tokens,tpot_ms
0,0.6049016918987036,70,128,4.725794467958622
1,0.5229657478630543,75,128,4.0856699051801115
2,0.5237129908055067,68,128,4.091507740668021
3,0.44625089317560196,75,128,3.4863351029343903
4,0.521334258839488,66,128,4.0729238971835
5,0.5538554284721613,72,128,4.32699553493876
6,0.49330298975110054,64,128,3.853929607430473
7,0.5243590101599693,72,128,4.09655476687476
8,2.70710907317698,71,128,21.149289634195156
9,0.5492479167878628,70,128,4.290999349905178
